df3
;result;reco;date;total_electorate;question;tags;theme;results;recommendation;congruence;weight;congruence_weighted;year;compteur
7390;No;None;1922-12-03;992523;;['direct taxation', 'budget cuts and remediation measures', 'social security'];7;0;0;0;0.11404377800758358;0.0;1922;1
7392;No;None;1922-06-11;976105;;['parliament', 'government, administration', 'electoral system'];6;0;0;0;0.11215730207974262;0.0;1922;1
7393;No;None;1922-06-11;976105;;['immigration policy', 'state security'];2;0;0;0;0.11215730207974262;0.0;1922;1
7394;No;None;1922-06-11;976105;;['immigration policy', 'citizenship'];2;0;0;0;0.11215730207974262;0.0;1922;1
7397;No;None;1921-01-30;967289;;['armed forces in general', 'criminal law'];6;0;0;0;0.1111443180512467;0.0;1921;1
7398;Yes;None;1921-01-30;967289;;['referendum', 'position on foreign policy'];6;1;0;0;0.1111443180512467;0.0;1921;1
7406;Yes;None;1920-03-21;957386;;['structural policy', 'lottery and gambling'];3;1;0;0;0.11000643456279444;0.0;1920;1
7413;Yes;None;1918-10-13;936336;;['electoral system', 'parliament'];6;1;0;0;0.10758772836952775;0.0;1918;1
7414;No;None;1918-06-02;936096;;['direct taxation'];7;0;0;0;0.1075601516718373;0.0;1918;1
7422;No;None;1910-10-23;823679;;['electoral system', 'parliament'];6;0;0;0;0.09464311157072273;0.0;1910;1
7424;Yes;None;1908-07-05;809545;;['addictive substances'];3;1;0;0;0.09301907388256923;0.0;1908;1
7430;No;None;1903-10-25;768105;;['electoral system', 'parliament'];6;0;0;0;0.0882574974146846;0.0;1903;1
7434;No;None;1900-11-04;747262;;"['electoral system', 'government, administration', ""citizens' rights""]";6;0;0;0;0.08586257612317591;0.0;1900;1
7435;No;None;1900-11-04;747262;;['electoral system', 'parliament'];6;0;0;0;0.08586257612317591;0.0;1900;1
7449;No;None;1894-11-04;690250;;['intergovernmental relations', 'financial system'];7;0;0;0;0.07931173158680914;0.0;1894;1
7450;No;None;1894-06-03;680731;;['employment policy', 'unemployment insurance', 'fundamental rights'];5;0;0;0;0.07821797081466161;0.0;1894;1
7452;Yes;None;1893-08-20;668913;;['livestock', 'religion, churches'];2;1;0;0;0.07686004825922096;0.0;1893;1
7470;No;None;1880-10-31;641576;;['monetary policy', 'intergovernmental relations', 'national bank'];7;0;0;0;0.07371894748937148;0.0;1880;1
